Fecha,Plato Principal,Acompañamiento,Postre,Comedor
2025-09-28,Arroz con pollo,Ensalada de zanahoria,Manzana,Comedor San Juan
2025-09-29,Lentejas con arroz,Plátano frito,Gelatina,Comedor Esperanza
2025-09-30,Estofado de carne,Puré de papas,Banana,Comedor San Juan
2025-10-01,Pescado al horno,Arroz blanco,Naranja,Comedor Esperanza
2025-10-02,Pollo a la plancha,Ensalada mixta,Manzana,Comedor San Juan
2025-10-03,Frijoles con arroz,Plátano frito,Gelatina,Comedor Esperanza
2025-10-04,Carne guisada,Puré de papas,Banana,Comedor San Juan
2025-10-05,Pescado frito,Arroz con verduras,Naranja,Comedor Esperanza
2025-10-06,Pollo al horno,Ensalada de lechuga,Manzana,Comedor San Juan
2025-10-07,Lentejas con arroz,Plátano frito,Gelatina,Comedor Esperanza
2025-10-08,Estofado de carne,Puré de papas,Banana,Comedor San Juan
2025-10-09,Pescado al vapor,Arroz blanco,Naranja,Comedor Esperanza
2025-10-10,Pollo a la plancha,Ensalada mixta,Manzana,Comedor San Juan
2025-10-11,Frijoles con arroz,Plátano frito,Gelatina,Comedor Esperanza
2025-10-12,Carne guisada,Puré de papas,Banana,Comedor San Juan
2025-10-13,Pescado frito,Arroz con verduras,Naranja,Comedor Esperanza
2025-10-14,Pollo al horno,Ensalada de lechuga,Manzana,Comedor San Juan
2025-10-15,Lentejas con arroz,Plátano frito,Gelatina,Comedor Esperanza
2025-10-16,Estofado de carne,Puré de papas,Banana,Comedor San Juan
2025-10-17,Pescado al vapor,Arroz blanco,Naranja,Comedor Esperanza
